"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Hierarchical","Naive_CD4_T",0.952777777777778
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Hierarchical","CD4_T_memory",0.843333333333333
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Hierarchical","CD8_T",0.966666666666667
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Louvain","Naive_CD4_T",0.96
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Louvain","CD4_T_memory",0.938888888888889
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Louvain","CD8_T",0.976666666666667
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Leiden","Naive_CD4_T",0.961111111111111
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Leiden","CD4_T_memory",0.933333333333333
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Leiden","CD8_T",0.976666666666667
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Kmeans","Naive_CD4_T",0.956111111111111
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Kmeans","CD4_T_memory",0.951111111111111
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Kmeans","CD8_T",0.976666666666667
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Hierarchical","Naive_CD4_T",0.942777777777778
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Hierarchical","CD4_T_memory",0.854444444444444
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Hierarchical","CD8_T",0.956666666666667
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Louvain","Naive_CD4_T",0.968333333333333
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Louvain","CD4_T_memory",0.927777777777778
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Louvain","CD8_T",0.97
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Leiden","Naive_CD4_T",0.968333333333333
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Leiden","CD4_T_memory",0.926666666666667
